央视,#genre#
贵州卫视,https://9bwaz8y2.gzstv.com/live/CH01_lo.m3u8?txSecret=924c63700507c5cb201f2bda1fc34240&txTime=659A1B2B

四川卫视,http://221.2.36.34:8888/newlive/live/hls/32/live.m3u8

新疆卫视,http://111.59.63.32:9901/tsfile/live/1039_1.m3u8

兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8

西藏卫视,https://tv.vtibet.cn/live/20231228zyiL0LNs3.m3u8?secret=789e756bdce109b0c7c3e414aac1c5ee&time=659a1c73

海南卫视,http://stream1.hnntv.cn/lywsgq/playlist.m3u8?_upt=f916fb081704599679

三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8

海峡卫视,https://live6.fjtv.net/haixiapd/playlist.m3u8?_upt=0e16413b1704604177

CHC高清电影频道,https://h5cdn404.kylintv.tv/live/chcmoviehd_iphone.m3u8

中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
